round,winner,results,year,gender,player1,player2,country1,country2,firstServe1,firstServe2,ace1,ace2,double1,double2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,fastServe1,fastServe2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,break1,break2,return1,return2,total1,total2,winner1,winner2,error1,error2,net1,net2
quarter,Andy Roddick,6-7(3) 6-4 6-2 2-1 ret.,2009,m,Andy Roddick,Novak Djokovic,USA,SRB,71%,62%,16,8,5,5,87%,63%,44%,48%,224,203,203,185,171,164,42%,100%,43%,25%,114,88,43,43,14,39,54%,50%
Fourth,Novak Djokovic,6-1 7-6(1) 6-7(5) 6-2,2009,m,Novak Djokovic,Marcos Baghdatis,SRB,CYP,63%,54%,3,12,3,2,74%,64%,56%,46%,206,208,187,187,159,150,29%,20%,44%,33%,147,118,36,37,49,53,76%,67%
Third,Novak Djokovic,6-2 4-6 6-3 7-6(4),2009,m,Novak Djokovic,Amer Delic,SRB,BIH,65%,59%,11,16,4,6,79%,77%,52%,44%,208,224,193,206,153,171,38%,11%,37%,31%,139,123,30,46,27,56,65%,68%
Second,Novak Djokovic,7-5 6-1 6-3,2009,m,Novak Djokovic,Jeremy Chardy,SRB,FRA,71%,61%,7,3,1,0,75%,61%,68%,45%,200,204,192,193,151,167,100%,50%,45%,27%,89,61,33,23,17,32,75%,37%
quarter,Jo-Wilfried Tsonga,7-6(8) 6-7(5) 1-6 6-3 6-1,2010,m,Jo-Wilfried Tsonga,Novak Djokovic,FRA,SRB,64%,69%,19,2,2,9,68%,67%,48%,49%,215,199,193,186,150,155,67%,38%,36%,39%,158,155,54,41,55,55,59%,70%
Fourth,Novak Djokovic,6-1 6-2 7-5,2010,m,Novak Djokovic,Lukasz Kubot,SRB,POL,69%,62%,11,4,1,4,80%,68%,70%,31%,202,209,183,189,158,162,67%,50%,44%,23%,92,58,37,18,17,25,58%,49%
Third,Novak Djokovic,6-1 6-1 6-2,2010,m,Novak Djokovic,Denis Istomin,SRB,UZB,59%,55%,3,3,7,0,73%,39%,45%,26%,199,197,187,176,158,138,64%,22%,67%,35%,87,49,29,11,25,31,71%,38%
Second,Novak Djokovic,3-6 6-1 6-1 6-3,2010,m,Novak Djokovic,Marco Chiudinelli,SRB,SUI,63%,56%,12,3,9,3,75%,58%,33%,42%,202,208,186,187,158,147,44%,18%,48%,38%,124,103,46,25,61,42,73%,58%
First,Novak Djokovic,7-5 6-3 6-2,2010,m,Novak Djokovic,Daniel Gimeno-Traver,SRB,ESP,69%,60%,4,5,5,5,76%,71%,57%,33%,198,192,175,176,158,153,36%,17%,42%,28%,103,78,23,24,28,47,63%,82%
Final,Novak Djokovic,6-4 6-2 6-3,2011,m,Novak Djokovic,Andy Murray,SRB,GBR,67%,53%,6,6,0,4,70%,64%,60%,31%,208,216,192,194,0,0,39%,75%,51%,33%,106,78,26,21,33,47,64%,39%
semi,Novak Djokovic,7-6(3) 7-5 6-4,2011,m,Novak Djokovic,Roger Federer,SRB,SUI,69%,60%,6,5,5,0,73%,71%,41%,48%,207,203,191,189,149,157,36%,30%,38%,37%,119,111,29,35,35,44,62%,65%
quarter,Novak Djokovic,6-1 7-6(5) 6-1,2011,m,Novak Djokovic,Tomas Berdych,SRB,CZE,68%,53%,10,5,1,5,82%,71%,41%,36%,206,218,192,200,150,156,50%,50%,46%,31%,107,80,34,29,21,32,75%,47%
Fourth,Novak Djokovic,6-3 6-4 6-0,2011,m,Novak Djokovic,Nicolas Almagro,SRB,ESP,75%,59%,12,5,4,2,86%,61%,47%,44%,206,212,188,198,147,151,38%,0%,46%,24%,93,60,31,15,17,35,82%,50%
Third,Novak Djokovic,6-2 ret.,2011,m,Novak Djokovic,Viktor Troicki,SRB,SRB,77%,61%,1,2,0,1,59%,65%,80%,13%,206,199,195,183,159,144,50%,100%,54%,36%,35,25,11,7,8,17,60%,45%
Second,Novak Djokovic,7-5 6-7(8) 6-0 6-2,2011,m,Novak Djokovic,Ivan Dodig,SRB,CRO,65%,58%,9,8,3,6,75%,68%,64%,47%,204,207,189,183,154,142,35%,20%,39%,28%,146,121,49,23,50,39,56%,47%
First,Novak Djokovic,6-1 6-3 6-1,2011,m,Novak Djokovic,Marcel Granollers,SRB,ESP,67%,48%,7,3,1,3,75%,68%,68%,24%,206,207,194,188,155,143,58%,50%,53%,27%,84,47,34,15,17,26,68%,55%
Final,Novak Djokovic,5-7 6-4 6-2 6-7(5) 7-5,2012,m,Novak Djokovic,Rafael Nadal,SRB,ESP,59%,67%,9,10,2,4,68%,66%,63%,45%,202,204,190,183,150,136,35%,67%,41%,34%,193,176,57,44,69,71,74%,84%
semi,Novak Djokovic,6-3 3-6 6-7(4) 6-1 7-5,2012,m,Novak Djokovic,Andy Murray,SRB,GBR,61%,63%,11,9,6,10,66%,64%,45%,30%,203,215,189,184,157,139,42%,29%,49%,42%,184,161,49,47,69,86,75%,70%
quarter,Novak Djokovic,6-4 7-6(4) 6-1,2012,m,Novak Djokovic,David Ferrer,SRB,ESP,53%,65%,3,2,0,1,71%,61%,67%,50%,199,193,186,178,151,145,42%,50%,43%,31%,105,84,35,18,39,36,78%,50%
Fourth,Novak Djokovic,6-1 6-3 4-6 6-3,2012,m,Novak Djokovic,Lleyton Hewitt,SRB,AUS,62%,53%,15,3,3,6,73%,68%,56%,36%,202,195,191,171,153,139,67%,67%,47%,33%,126,100,55,23,34,37,52%,79%
