"","long","lat","group","order","region","subregion"
"1",-109.04532623291,35.9989395141602,68,3160,"arizona","apache"
"2",-109.051063537598,34.9504280090332,68,3161,"arizona","apache"
"3",-109.051063537598,34.5722732543945,68,3162,"arizona","apache"
"4",-109.056785583496,33.7758636474609,68,3163,"arizona","apache"
"5",-109.165649414062,33.7758636474609,68,3164,"arizona","apache"
"6",-109.291702270508,33.7758636474609,68,3165,"arizona","apache"
"7",-109.326080322266,33.7815933227539,68,3166,"arizona","apache"
"8",-109.348991394043,33.770133972168,68,3167,"arizona","apache"
"9",-109.360450744629,33.7529449462891,68,3168,"arizona","apache"
"10",-109.360450744629,33.7300262451172,68,3169,"arizona","apache"
"11",-109.406288146973,33.7185668945312,68,3170,"arizona","apache"
"12",-109.446395874023,33.7128372192383,68,3171,"arizona","apache"
"13",-109.480773925781,33.6784591674805,68,3172,"arizona","apache"
"14",-109.480773925781,33.6555404663086,68,3173,"arizona","apache"
"15",-109.503700256348,33.6498107910156,68,3174,"arizona","apache"
"16",-109.520881652832,33.6440811157227,68,3175,"arizona","apache"
"17",-109.526611328125,33.6326217651367,68,3176,"arizona","apache"
"18",-109.566719055176,33.6268920898438,68,3177,"arizona","apache"
"19",-109.658393859863,33.5982437133789,68,3178,"arizona","apache"
"20",-109.681304931641,33.5524101257324,68,3179,"arizona","apache"
"21",-109.727142333984,33.5352210998535,68,3180,"arizona","apache"
"22",-109.732879638672,33.5065727233887,68,3181,"arizona","apache"
"23",-109.761520385742,33.4893836975098,68,3182,"arizona","apache"
"24",-109.795906066895,33.4893836975098,68,3183,"arizona","apache"
"25",-109.807357788086,33.5008430480957,68,3184,"arizona","apache"
"26",-109.836013793945,33.5008430480957,68,3185,"arizona","apache"
"27",-109.85319519043,33.5409469604492,68,3186,"arizona","apache"
"28",-109.887573242188,33.5524101257324,68,3187,"arizona","apache"
"29",-109.881843566895,33.7071075439453,68,3188,"arizona","apache"
"30",-109.858924865723,33.7128372192383,68,3189,"arizona","apache"
"31",-109.858924865723,34.1310958862305,68,3190,"arizona","apache"
"32",-109.847465515137,34.1368255615234,68,3191,"arizona","apache"
"33",-109.847465515137,34.3144416809082,68,3192,"arizona","apache"
"34",-109.847465515137,34.6467590332031,68,3193,"arizona","apache"
"35",-109.847465515137,35.1395034790039,68,3194,"arizona","apache"
"36",-109.847465515137,35.5176544189453,68,3195,"arizona","apache"
"37",-109.824554443359,35.5233840942383,68,3196,"arizona","apache"
"38",-109.830284118652,35.6437034606934,68,3197,"arizona","apache"
"39",-110.002166748047,35.6494331359863,68,3198,"arizona","apache"
"40",-110.00789642334,36.2911491394043,68,3199,"arizona","apache"
"41",-110.00789642334,36.8125381469727,68,3200,"arizona","apache"
"42",-110.00789642334,37.0016136169434,68,3201,"arizona","apache"
"43",-109.933410644531,36.9958839416504,68,3202,"arizona","apache"
"44",-109.715682983398,36.9958839416504,68,3203,"arizona","apache"
"45",-109.41202545166,36.9958839416504,68,3204,"arizona","apache"
"46",-109.148460388184,36.9958839416504,68,3205,"arizona","apache"
"47",-109.039596557617,36.9958839416504,68,3206,"arizona","apache"
"48",-109.04532623291,35.9989395141602,68,3207,"arizona","apache"
"49",-110.466262817383,31.7418632507324,69,3209,"arizona","cochise"
"50",-110.466262817383,32.4236831665039,69,3210,"arizona","cochise"
"51",-109.188568115234,32.4236831665039,69,3211,"arizona","cochise"
"52",-109.056785583496,32.4236831665039,69,3212,"arizona","cochise"
"53",-109.056785583496,31.3522510528564,69,3213,"arizona","cochise"
"54",-109.234405517578,31.3522510528564,69,3214,"arizona","cochise"
"55",-109.624015808105,31.3465213775635,69,3215,"arizona","cochise"
"56",-109.996437072754,31.3522510528564,69,3216,"arizona","cochise"
"57",-110.351669311523,31.3522510528564,69,3217,"arizona","cochise"
"58",-110.477722167969,31.3522510528564,69,3218,"arizona","cochise"
"59",-110.477722167969,31.4611110687256,69,3219,"arizona","cochise"
"60",-110.477722167969,31.6559181213379,69,3220,"arizona","cochise"
"61",-110.466262817383,31.6559181213379,69,3221,"arizona","cochise"
"62",-110.466262817383,31.7418632507324,69,3222,"arizona","cochise"
"63",-111.319969177246,37.0016136169434,70,3224,"arizona","coconino"
"64",-111.25121307373,36.9958839416504,70,3225,"arizona","coconino"
"65",-111.125160217285,36.9958839416504,70,3226,"arizona","coconino"
"66",-110.844413757324,37.0016136169434,70,3227,"arizona","coconino"
"67",-110.75846862793,36.9958839416504,70,3228,"arizona","coconino"
"68",-110.75846862793,36.8068084716797,70,3229,"arizona","coconino"
"69",-110.752738952637,36.4057388305664,70,3230,"arizona","coconino"
"70",-110.752738952637,35.8671569824219,70,3231,"arizona","coconino"
"71",-110.752738952637,35.3343086242676,70,3232,"arizona","coconino"
"72",-110.752738952637,34.8472938537598,70,3233,"arizona","coconino"
"73",-110.752738952637,34.2628746032715,70,3234,"arizona","coconino"
"74",-110.775665283203,34.2686042785645,70,3235,"arizona","coconino"
"75",-110.775665283203,34.2972526550293,70,3236,"arizona","coconino"
"76",-110.781394958496,34.3144416809082,70,3237,"arizona","coconino"
"77",-110.792846679688,34.3144416809082,70,3238,"arizona","coconino"
"78",-110.79857635498,34.3029823303223,70,3239,"arizona","coconino"
"79",-110.821502685547,34.3087120056152,70,3240,"arizona","coconino"
"80",-110.832954406738,34.3144416809082,70,3241,"arizona","coconino"
"81",-110.844413757324,34.3087120056152,70,3242,"arizona","coconino"
"82",-110.832954406738,34.3029823303223,70,3243,"arizona","coconino"
"83",-110.827224731445,34.2915229797363,70,3244,"arizona","coconino"
"84",-110.832954406738,34.2857933044434,70,3245,"arizona","coconino"
"85",-110.844413757324,34.2686042785645,70,3246,"arizona","coconino"
"86",-110.844413757324,34.2571449279785,70,3247,"arizona","coconino"
"87",-110.873062133789,34.2857933044434,70,3248,"arizona","coconino"
"88",-110.91316986084,34.2972526550293,70,3249,"arizona","coconino"
"89",-110.97046661377,34.3201713562012,70,3250,"arizona","coconino"
"90",-110.981925964355,34.3373603820801,70,3251,"arizona","coconino"
"91",-111.022033691406,34.354549407959,70,3252,"arizona","coconino"
"92",-111.033485412598,34.354549407959,70,3253,"arizona","coconino"
"93",-111.044952392578,34.343090057373,70,3254,"arizona","coconino"
"94",-111.06787109375,34.354549407959,70,3255,"arizona","coconino"
"95",-111.062141418457,34.3774681091309,70,3256,"arizona","coconino"
"96",-111.06787109375,34.3831977844238,70,3257,"arizona","coconino"
"97",-111.085052490234,34.3831977844238,70,3258,"arizona","coconino"
"98",-111.096519470215,34.3889274597168,70,3259,"arizona","coconino"
"99",-111.113700866699,34.3889274597168,70,3260,"arizona","coconino"
"100",-111.125160217285,34.3889274597168,70,3261,"arizona","coconino"
"101",-111.136627197266,34.3889274597168,70,3262,"arizona","coconino"
"102",-111.142356872559,34.3774681091309,70,3263,"arizona","coconino"
"103",-111.153816223145,34.3717384338379,70,3264,"arizona","coconino"
"104",-111.165267944336,34.3831977844238,70,3265,"arizona","coconino"
"105",-111.170997619629,34.3889274597168,70,3266,"arizona","coconino"
"106",-111.182464599609,34.4061164855957,70,3267,"arizona","coconino"
"107",-111.199645996094,34.4061164855957,70,3268,"arizona","coconino"
"108",-111.21110534668,34.4118461608887,70,3269,"arizona","coconino"
"109",-111.239753723145,34.4347648620605,70,3270,"arizona","coconino"
"110",-111.256942749023,34.4404945373535,70,3271,"arizona","coconino"
"111",-111.285591125488,34.4404945373535,70,3272,"arizona","coconino"
"112",-111.297050476074,34.4347648620605,70,3273,"arizona","coconino"
"113",-111.314239501953,34.4233016967773,70,3274,"arizona","coconino"
"114",-111.337158203125,34.4175758361816,70,3275,"arizona","coconino"
"115",-111.360076904297,34.4233016967773,70,3276,"arizona","coconino"
"116",-111.36580657959,34.4347648620605,70,3277,"arizona","coconino"
"117",-111.377265930176,34.4347648620605,70,3278,"arizona","coconino"
"118",-111.388725280762,34.4347648620605,70,3279,"arizona","coconino"
"119",-111.400184631348,34.4233016967773,70,3280,"arizona","coconino"
"120",-111.400184631348,34.4118461608887,70,3281,"arizona","coconino"
"121",-111.394454956055,34.4003829956055,70,3282,"arizona","coconino"
"122",-111.388725280762,34.3889274597168,70,3283,"arizona","coconino"
"123",-111.388725280762,34.3831977844238,70,3284,"arizona","coconino"
"124",-111.400184631348,34.3774681091309,70,3285,"arizona","coconino"
"125",-111.417373657227,34.3831977844238,70,3286,"arizona","coconino"
"126",-111.428833007812,34.3889274597168,70,3287,"arizona","coconino"
"127",-111.434562683105,34.4118461608887,70,3288,"arizona","coconino"
"128",-111.434562683105,34.4233016967773,70,3289,"arizona","coconino"
"129",-111.42310333252,34.4290351867676,70,3290,"arizona","coconino"
"130",-111.411643981934,34.4233016967773,70,3291,"arizona","coconino"
"131",-111.400184631348,34.4290351867676,70,3292,"arizona","coconino"
"132",-111.405914306641,34.4404945373535,70,3293,"arizona","coconino"
"133",-111.417373657227,34.4462203979492,70,3294,"arizona","coconino"
"134",-111.434562683105,34.4404945373535,70,3295,"arizona","coconino"
"135",-111.457481384277,34.4404945373535,70,3296,"arizona","coconino"
"136",-111.457481384277,34.4290351867676,70,3297,"arizona","coconino"
"137",-111.46321105957,34.4175758361816,70,3298,"arizona","coconino"
"138",-111.468940734863,34.4118461608887,70,3299,"arizona","coconino"
"139",-111.474670410156,34.4233016967773,70,3300,"arizona","coconino"
"140",-111.468940734863,34.4347648620605,70,3301,"arizona","coconino"
"141",-111.474670410156,34.4347648620605,70,3302,"arizona","coconino"
"142",-111.491851806641,34.4347648620605,70,3303,"arizona","coconino"
